InputID,Traveller_ID,activity,Traveller_Country,City,location_Type,rating,sentiment_comments,Travel_Year,Travel_month,month
45012,4352,Wildlife_photography,Vietnam,Beruwala,Gardens,2,negative,2014,3,March
45015,4355,Wildlife_photography,"United Kingdom",Beruwala,Gardens,2,positive,2014,5,May
45018,4358,Wildlife_photography,"United Kingdom",Beruwala,Gardens,5,positive,2013,8,August
45019,4359,Wildlife_photography,"United Kingdom",Beruwala,Gardens,3,positive,2014,3,March
45020,4360,Wildlife_photography,"United Kingdom",Beruwala,Gardens,4,positive,2014,2,February
45034,4373,Wildlife_photography,Italy,Beruwala,Gardens,4,positive,2012,5,May
45035,4374,Wildlife_photography,"United Kingdom",Beruwala,Gardens,5,positive,2012,4,April
45082,4415,Wildlife_photography,Germany,Beruwala,Gardens,4,positive,2011,11,November
45087,4420,Wildlife_photography,Australia,Beruwala,Gardens,4,positive,2011,8,August
45095,4427,Wildlife_photography,"United Kingdom",Beruwala,Gardens,5,positive,2013,5,May
45097,4429,Wildlife_photography,"United States",Beruwala,Gardens,5,positive,2013,5,May
45107,4438,Wildlife_photography,"United Kingdom",Beruwala,Gardens,5,positive,2013,2,February
45109,4440,Wildlife_photography,Thailand,Beruwala,Gardens,5,positive,2013,3,March
45114,4445,Wildlife_photography,"United Kingdom",Beruwala,Gardens,5,positive,2013,2,February
45115,4446,Wildlife_photography,"United Kingdom",Beruwala,Gardens,4,positive,2013,1,January
45124,4455,Wildlife_photography,"United Kingdom",Beruwala,Gardens,5,positive,2012,9,September
45152,4462,Wildlife_photography,India,"Nuwara Eliya",Gardens,5,positive,2018,12,December
45207,4489,Wildlife_photography,Australia,"Nuwara Eliya",Gardens,5,positive,2017,12,December
45243,4509,Wildlife_photography,Afghanistan,"Nuwara Eliya",Gardens,3,positive,2016,12,December
45265,4524,Wildlife_photography,India,"Nuwara Eliya",Gardens,3,positive,2015,12,December
52800,4563,Wildlife_photography,Bangladesh,"Nuwara Eliya",Waterfalls,4,positive,2017,6,June
45342,4583,Wildlife_photography,India,"Nuwara Eliya",Gardens,5,positive,2016,3,March
54770,4685,Wildlife_photography,"United Kingdom",Colombo,"Religious Sites",5,negative,2020,1,January
45530,4732,Wildlife_photography,Denmark,Kandy,Gardens,3,positive,2013,12,December
