InputID,Traveller_ID,Photography,Travel_Year,Travel_month,month,rating
51916,8765,"No photography",2016,2,February,5
51917,8766,"No photography",2016,3,March,5
51918,8767,"No photography",2016,4,April,4
51919,8768,"No photography",2016,1,January,5
51920,8769,"No photography",2016,3,March,1
51921,8770,"No photography",2016,3,March,2
51922,8771,photography,2016,3,March,5
51923,2597,"No photography",2016,2,February,4
51924,2555,"No photography",2016,3,March,4
51925,8772,"No photography",2016,2,February,4
51926,8773,"No photography",2016,2,February,5
51927,8774,photography,2016,1,January,5
51928,8775,"No photography",2016,2,February,5
51929,8776,"No photography",2015,9,September,4
51930,4683,"No photography",2015,11,November,3
51931,8429,"No photography",2015,9,September,5
51932,8777,"No photography",2015,9,September,5
51933,2568,"No photography",2015,9,September,4
51934,8778,"No photography",2015,10,October,4
51935,8779,"No photography",2015,9,September,2
51936,8780,"No photography",2015,9,September,5
51937,8781,"No photography",2015,9,September,5
51938,8782,"No photography",2015,8,August,2
51939,8783,"No photography",2015,8,August,5
51940,2577,"No photography",2015,7,July,3
51941,8784,"No photography",2015,8,August,1
51942,1777,"No photography",2015,8,August,5
51943,8785,"No photography",2015,3,March,5
51944,3086,"No photography",2015,2,February,3
51945,2457,"No photography",2014,8,August,4
51946,8786,"No photography",2015,3,March,4
51947,8787,"No photography",2015,2,February,2
51948,8788,photography,2015,2,February,5
51949,8789,photography,2015,1,January,5
51950,8790,photography,2015,2,February,3
51951,8791,"No photography",2015,1,January,5
51952,8792,"No photography",2014,12,December,3
51953,5583,"No photography",2014,11,November,5
51954,8793,"No photography",2014,12,December,4
51955,8794,photography,2014,8,August,3
51956,8795,photography,2014,10,October,4
51957,8796,"No photography",2014,10,October,2
51958,8797,"No photography",2014,10,October,4
51959,8798,"No photography",2014,10,October,4
51960,3070,"No photography",2014,4,April,3
51961,8799,"No photography",2014,3,March,4
51962,8800,"No photography",2014,4,April,4
51963,6233,"No photography",2014,3,March,5
51964,8801,"No photography",2014,2,February,4
51965,8802,"No photography",2014,2,February,5
51966,8803,"No photography",2013,11,November,4
51967,8804,photography,2014,2,February,4
51968,8805,"No photography",2014,2,February,5
51969,8806,photography,2014,1,January,5
51970,8807,"No photography",2014,1,January,3
51971,8808,"No photography",2013,11,November,5
51972,8809,"No photography",2013,2,February,5
51973,8810,"No photography",2013,8,August,4
51974,4571,"No photography",2013,8,August,3
51975,8811,"No photography",2013,7,July,4
51976,8812,"No photography",2014,9,September,4
51977,8813,"No photography",2014,9,September,4
51978,8814,photography,2014,8,August,4
51979,1144,"No photography",2014,7,July,5
51980,8815,"No photography",2014,6,June,4
51981,8816,photography,2013,6,June,4
51982,8817,"No photography",2013,6,June,4
51983,8818,"No photography",2013,6,June,3
51984,8819,"No photography",2013,5,May,4
51985,8820,"No photography",2013,5,May,5
51986,8821,"No photography",2013,2,February,3
51987,8822,"No photography",2012,4,April,5
51988,8823,"No photography",2012,12,December,2
51989,5825,"No photography",2012,9,September,4
51990,8824,"No photography",2012,10,October,4
51991,8825,"No photography",2012,9,September,3
51992,8826,"No photography",2012,3,March,1
51993,3558,"No photography",2018,1,January,4
51994,8827,"No photography",2017,6,June,4
51995,1829,"No photography",2017,4,April,4
51996,4082,photography,2017,11,November,4
51997,8828,photography,2017,11,November,4
51998,7983,"No photography",2017,8,August,4
51999,7141,"No photography",2017,3,March,4
52000,2935,"No photography",2017,3,March,4
